,folder,date,sequence,untitled,trigNum,TSTrig,gratPos,t_exp,frames,ln/mm,gratTilt,I,B,Flow,pump%,Seed,p_n,Te,Ne,type,Dark_folder,Dark_sequence,Dark_untitled,Calo0,Notes,TaChPres,TaChPres_er,Calori,Calori_er,CB_to_OES_initial_delay,incremental_step,first_pulse_at_this_frame,bad_pulses_indexes,number_of_pulses
0,2019-05-01,,3,14,14107.0,15690.0,964.0,0.01,10.0,150.0,-10.0,140.0,1.2,5.0,25.0,0.0,0.5,4.18,1.36,Dark,,,,-0.28838,Ha and b,0.49842799832231605,0.009725471382205999,1472.9300214781,25.9465622575308,,,,,
1,2019-05-01,,3,15,,,,0.01,10.0,,,,,,,,,,,,2019-05-01,3.0,14.0,,,,,,,3.0,0.0,-4.0,"5, 10, 6",10.0
2,2019-05-01,,3,16,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,17.0,,,,,,,3.0,0.0,2.0,"7, 8, 10",10.0
3,2019-05-01,,3,17,,,,0.01,,,,,,,,,,,,Dark,,,,,,,,,,,,,,
4,2019-05-01,,3,33,,,,0.01,,,,,,,,,,,,Dark,,,,,,,,,,,,,,
5,2019-05-01,,3,34,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,33.0,,,,,,,4.0,0.05,7.0,0,80.0
6,2019-05-01,,3,35,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,33.0,,,,,,,0.0,0.05,1.0,0,80.0
7,2019-05-01,,3,36,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,33.0,,,,,,,-3.0,0.05,1.0,0,80.0
8,2019-05-01,,3,37,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,33.0,,,,,,,10.0,0.05,1.0,0,80.0
9,2019-05-01,,3,38,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,33.0,,,,,,,14.0,0.05,1.0,0,80.0
10,2019-05-01,,3,39,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,8.0,0.05,1.0,0,80.0
11,2019-05-01,,3,40,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,3.0,0.01,1.0,0,80.0
12,2019-05-01,,3,41,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,3.8,0.01,1.0,0,80.0
13,2019-05-01,,3,42,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,4.6,0.01,1.0,0,80.0
14,2019-05-01,,3,43,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,5.4,0.01,1.0,0,80.0
15,2019-05-01,,3,44,,,,0.01,,,,,,,,,,,,Dark,,,,,,,,,,,,,,
16,2019-05-02,,1,1,,,,0.01,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
17,2019-05-02,,1,2,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
18,2019-05-02,,1,3,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
19,2019-05-02,,1,4,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
20,2019-05-02,,1,5,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
21,2019-05-02,,1,6,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
22,2019-05-02,,1,7,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
23,2019-05-02,,1,8,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
24,2019-05-02,,1,9,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
25,2019-05-02,,1,10,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
26,2019-05-02,,1,11,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
27,2019-05-02,,1,12,,,,,,,,,,,,,,,,,2019-05-01,3.0,44.0,,,,,,,,,,,
